,Total Assets,Revenue,Net Income,Earnings Per Share (EPS),Gross Profit,Operating Income (EBIT),Number of Outstanding Shares,Long-Term Debt
ASHG.TA,"[0.9243, 0.9128, 0.775]","[0.6604, 0.6489, 0.5111]","[0.4025, 0.391, 0.2532]","[-1.0, -1.0, -1.0]","[0.6751, 0.6636, 0.5258]","[0.6772, 0.6887, 0.8264]","[None, None, None]","[None, None, None]"
ASGR.TA,"[0.7756, 0.8021, 0.634]","[0.0837, 0.1102, -0.0579]","[0.6964, 0.6699, 0.838]","[-1.0, -1.0, -1.0]","[0.5336, 0.56, 0.392]","[0.007, 0.0334, -0.1346]","[0.9779, 0.9956, 0.8363]","[-0.29, -0.2635, -0.4316]"
AUDC.TA,"[0.9754, 0.9702, 0.8031]","[-1.0, -1.0, -1.0]","[-1.0, -1.0, -1.0]","[-1.0, -1.0, -1.0]","[-1.0, -1.0, -1.0]","[-1.0, -1.0, -1.0]","[0.9137, 0.9189, 0.914]","[None, None, None]"
AVGL.TA,"[0.9523, 0.9914, 0.9241]","[0.9054, 0.9446, 0.971]","[-1.0, -1.0, -1.0]","[-0.3704, -0.3312, -0.2467]","[0.8054, 0.7663, 0.6818]","[0.6146, 0.5754, 0.491]","[0.9752, 0.936, 0.8516]","[None, None, None]"
AZRG.TA,"[-1.0, -1.0, -1.0]","[None, None, None]","[-1.0, -1.0, -1.0]","[-1.0, -1.0, -1.0]","[None, None, None]","[None, None, None]","[1.0, 0.982, 0.9149]","[None, None, None]"
BCOM.TA,"[0.9466, 0.9796, 0.9204]","[None, None, None]","[0.1953, 0.2282, 0.3283]","[None, None, None]","[None, None, None]","[None, None, None]","[0.9069, 0.9398, 0.9602]","[None, None, None]"
BKFR.TA,"[0.9319, 0.9628, 0.8822]","[0.911, 0.9419, 0.8613]","[0.2328, 0.2637, 0.183]","[-0.1591, -0.1282, -0.2088]","[0.8529, 0.8838, 0.8032]","[None, None, None]","[None, None, None]","[0.0, -0.0309, 0.0498]"
BIG.TA,"[0.9235, 0.8817, 0.7845]","[None, None, None]","[0.8506, 0.8088, 0.7116]","[0.8744, 0.8326, 0.7353]","[None, None, None]","[None, None, None]","[None, None, None]","[0.9971, 0.9552, 0.858]"
BLSR.TA,"[0.8839, 0.9588, 0.8089]","[None, None, None]","[0.5321, 0.4572, 0.6071]","[0.8834, 0.9583, 0.8084]","[None, None, None]","[None, None, None]","[None, None, None]","[0.6659, 0.7409, 0.5909]"
CAMT.TA,"[0.9466, 0.9505, 0.9545]","[-1.0, -1.0, -1.0]","[-1.0, -1.0, -1.0]","[-1.0, -1.0, -1.0]","[-1.0, -1.0, -1.0]","[-1.0, -1.0, -1.0]","[0.9727, 0.9243, 0.9284]","[0.9986, 0.8984, 0.9025]"
CRSM.TA,"[-1.0, -1.0, -1.0]","[-1.0, -1.0, -1.0]","[-1.0, -1.0, -1.0]","[None, None, None]","[-1.0, -1.0, -1.0]","[None, None, None]","[None, None, None]","[-1.0, -1.0, -1.0]"
CEL.TA,"[0.9526, 0.8592, 0.8002]","[0.6724, 0.579, 0.52]","[0.5463, 0.4529, 0.3939]","[0.4242, 0.3309, 0.2719]","[0.6663, 0.5729, 0.5139]","[0.8061, 0.7127, 0.6537]","[None, None, None]","[0.997, 0.9036, 0.8446]"
CLIS.TA,"[0.5069, 0.5155, 0.6074]","[None, None, None]","[-0.4899, -0.4985, -0.5904]","[None, None, None]","[None, None, None]","[None, None, None]","[0.8261, 0.8175, 0.7256]","[None, None, None]"
CGEN.TA,"[0.9478, 0.8, 0.9566]","[0.75, 0.8977, 0.7411]","[-0.8681, -1.0, -0.8592]","[-1.0, -1.0, -1.0]","[0.7735, 0.9212, 0.7646]","[-0.8967, -1.0, -0.8878]","[0.9205, 0.9318, 0.9116]","[None, None, None]"
DANH.TA,"[0.9758, 0.9376, 0.9322]","[0.4914, 0.5296, 0.3994]","[-1.0, -1.0, -1.0]","[-1.0, -1.0, -1.0]","[0.048, 0.0862, -0.044]","[-1.0, -1.0, -1.0]","[None, None, None]","[0.7502, 0.712, 0.8422]"
DLEKG.TA,"[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[0.9962, 0.9353, 0.877]","[None, None, None]"
DELG.TA,"[0.9403, 0.8938, 0.8614]","[0.6339, 0.5874, 0.5551]","[0.5913, 0.5448, 0.5124]","[-1.0, -1.0, -1.0]","[0.6197, 0.5733, 0.5409]","[0.5743, 0.5278, 0.4954]","[None, None, None]","[-0.0609, -0.1074, -0.1398]"
DISI.TA,"[-0.645, -0.6308, -0.8737]","[None, None, None]","[-1.0, -1.0, -1.0]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]"
ELAL.TA,"[0.98, 0.9121, 0.9724]","[-1.0, -1.0, -1.0]","[0.3732, 0.4411, 0.3808]","[None, None, None]","[0.8785, 0.9464, 0.8861]","[None, None, None]","[None, None, None]","[0.9729, 0.905, 0.9653]"
ESLT.TA,"[0.975, 0.9625, 0.9848]","[-1.0, -1.0, -1.0]","[-1.0, -1.0, -1.0]","[-1.0, -1.0, -1.0]","[-1.0, -1.0, -1.0]","[-1.0, -1.0, -1.0]","[0.9986, 0.9889, 0.9583]","[0.2162, 0.2287, 0.176]"
ELCO.TA,"[0.9946, 0.8963, 0.7761]","[0.7036, 0.6053, 0.4851]","[0.4222, 0.5205, 0.6407]","[-0.1704, -0.0722, 0.048]","[0.9113, 0.8131, 0.6929]","[0.9548, 0.947, 0.8268]","[None, None, None]","[None, None, None]"
ECP.TA,"[0.9819, 0.9701, 0.8519]","[0.6851, 0.6733, 0.5552]","[0.8161, 0.8043, 0.6862]","[None, None, None]","[0.6521, 0.6403, 0.5222]","[0.2316, 0.2198, 0.1017]","[None, None, None]","[None, None, None]"
ELCRE.TA,"[0.9689, 0.9686, 0.868]","[None, None, None]","[0.9619, 0.9622, 0.7988]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[0.7366, 0.7363, 0.8997]"
ELWS.TA,"[0.8168, 0.817, 0.3324]","[0.2575, 0.2573, 0.7418]","[0.5649, 0.5651, 0.0806]","[-1.0, -1.0, -1.0]","[0.3833, 0.3831, 0.8677]","[None, None, None]","[None, None, None]","[None, None, None]"
ELLO.TA,"[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]"
ENOG.TA,"[None, None, None]","[0.6603, 0.6815, 0.7226]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]"
ENLV.TA,"[0.9341, 0.907, 0.9662]","[None, None, None]","[0.6988, 0.6717, 0.7985]","[-0.1846, -0.2117, -0.085]","[None, None, None]","[0.563, 0.5359, 0.6627]","[0.7154, 0.7426, 0.6158]","[None, None, None]"
EQTL.TA,"[0.9668, 0.9597, 0.8908]","[0.5813, 0.5741, 0.5052]","[0.4185, 0.4256, 0.4945]","[None, None, None]","[None, None, None]","[0.865, 0.8721, 0.941]","[None, None, None]","[None, None, None]"
EVGN.TA,"[0.9451, 0.9194, 0.9357]","[0.3498, 0.3754, 0.2305]","[0.9764, 0.9507, 0.9044]","[-1.0, -1.0, -1.0]","[0.3702, 0.3958, 0.251]","[0.8367, 0.8111, 0.9559]","[0.1649, 0.1392, 0.2841]","[-1.0, -1.0, -1.0]"
FRSX.TA,"[0.9209, 0.8669, 0.9727]","[0.7805, 0.8345, 0.7286]","[0.7861, 0.7321, 0.8379]","[None, None, None]","[0.7737, 0.8276, 0.7218]","[0.6487, 0.5947, 0.7005]","[None, None, None]","[None, None, None]"
FORTY.TA,"[0.9616, 0.9592, 0.8532]","[0.673, 0.6706, 0.5646]","[0.5097, 0.5122, 0.6181]","[-1.0, -1.0, -1.0]","[0.6387, 0.6363, 0.5303]","[0.9265, 0.924, 0.8181]","[0.9872, 0.9896, 0.9044]","[0.5126, 0.5102, 0.4042]"
GCT.TA,"[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]"
GVYM.TA,"[-1.0, -1.0, -1.0]","[-1.0, -1.0, -1.0]","[-1.0, -1.0, -1.0]","[None, None, None]","[-1.0, -1.0, -1.0]","[-1.0, -1.0, -1.0]","[None, None, None]","[None, None, None]"
GLTL.TA,"[0.773, 0.8409, 0.6328]","[0.6741, 0.742, 0.5339]","[0.6924, 0.6245, 0.8326]","[None, None, None]","[0.6319, 0.6998, 0.4917]","[0.8635, 0.7956, 0.9963]","[0.5272, 0.5951, 0.387]","[0.9241, 0.992, 0.7839]"
GOHO.TA,"[0.9538, 0.9527, 0.8276]","[0.7654, 0.7644, 0.6393]","[0.4472, 0.4462, 0.3211]","[0.36, 0.3611, 0.4862]","[0.8625, 0.8615, 0.7364]","[0.1927, 0.1938, 0.3188]","[0.9967, 0.9978, 0.8771]","[None, None, None]"
G107.TA,"[None, None, None]","[None, None, None]","[None, None, None]","[0.9786, 0.994, 0.7165]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]"
HAMAT.TA,"[0.9728, 0.9683, 0.788]","[0.6859, 0.6905, 0.4467]","[0.8384, 0.8429, 0.5992]","[0.1296, 0.1251, 0.3688]","[0.694, 0.6985, 0.4548]","[0.9707, 0.9752, 0.7315]","[None, None, None]","[0.7999, 0.7954, 0.9609]"
HLAN.TA,"[0.9002, 0.8528, 0.7807]","[0.6206, 0.5732, 0.5011]","[0.5092, 0.4618, 0.3898]","[None, None, None]","[0.583, 0.5356, 0.4636]","[0.5291, 0.4816, 0.4096]","[None, None, None]","[0.9444, 0.9919, 0.9361]"
HIPR.TA,"[0.977, 0.9421, 0.998]","[0.638, 0.6031, 0.659]","[0.7388, 0.7039, 0.7597]","[-1.0, -1.0, -1.0]","[0.6336, 0.5987, 0.6546]","[0.6504, 0.6154, 0.6713]","[None, None, None]","[0.4008, 0.3659, 0.4218]"
HLMS.TA,"[0.9497, 0.9794, 0.9425]","[0.6358, 0.6656, 0.6287]","[0.7422, 0.772, 0.7351]","[-1.0, -1.0, -1.0]","[0.6075, 0.6372, 0.6003]","[None, None, None]","[None, None, None]","[None, None, None]"
HUMX.TA,"[0.6002, 0.3547, 0.636]","[0.8627, 0.8917, 0.8269]","[0.8316, 0.9229, 0.7958]","[-0.4279, -0.6734, -0.392]","[0.5052, 0.7508, 0.4694]","[None, None, None]","[None, None, None]","[None, None, None]"
ILX.TA,"[0.9724, 0.9704, 0.9952]","[0.8137, 0.8157, 0.7909]","[0.5171, 0.5191, 0.4944]","[0.2336, 0.2356, 0.2108]","[0.7457, 0.7477, 0.7229]","[0.5794, 0.5814, 0.5566]","[None, None, None]","[0.5642, 0.5662, 0.5414]"
INRM.TA,"[0.9969, 0.9764, 0.9504]","[0.6581, 0.6786, 0.6055]","[0.5902, 0.6107, 0.5375]","[0.9726, 0.9931, 0.9199]","[0.6326, 0.6531, 0.58]","[0.6157, 0.6362, 0.563]","[None, None, None]","[None, None, None]"
INCR.TA,"[None, None, None]","[-1.0, -1.0, -1.0]","[None, None, None]","[-1.0, -1.0, -1.0]","[-1.0, -1.0, -1.0]","[-0.5459, -0.5056, -0.8469]","[None, None, None]","[None, None, None]"
ISHI.TA,"[0.9242, 0.954, 0.884]","[0.4379, 0.4676, 0.3977]","[0.7374, 0.7672, 0.6972]","[0.6992, 0.6695, 0.7394]","[0.6218, 0.6516, 0.5816]","[0.6605, 0.6903, 0.6203]","[None, None, None]","[0.8976, 0.8679, 0.9378]"
ISRO.TA,"[0.9812, 0.9834, 0.8871]","[0.6619, 0.6597, 0.5302]","[0.7498, 0.7476, 0.6181]","[0.5472, 0.545, 0.4155]","[0.6919, 0.6897, 0.5602]","[0.8159, 0.8137, 0.6842]","[None, None, None]","[0.9772, 0.9794, 0.8911]"
KMDA.TA,"[0.9914, 0.9197, 0.9873]","[0.4584, 0.5473, 0.4797]","[0.4408, 0.5297, 0.4621]","[-1.0, -1.0, -1.0]","[0.5132, 0.6021, 0.5345]","[-1.0, -1.0, -1.0]","[-1.0, -1.0, -1.0]","[0.9211, 0.8322, 0.8998]"
KLIL.TA,"[0.9934, 0.9706, 0.7777]","[0.73, 0.7528, 0.5011]","[0.8775, 0.9003, 0.6486]","[0.2317, 0.2089, 0.4606]","[0.7837, 0.8065, 0.5548]","[0.8936, 0.9164, 0.6647]","[None, None, None]","[None, None, None]"
LAHAV.TA,"[0.4076, 0.5114, 0.2147]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[0.8678, 0.9716, 0.6749]","[0.576, 0.6799, 0.3832]"
LBRA.TA,"[None, None, None]","[None, None, None]","[None, None, None]","[-1.0, -1.0, -1.0]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]"
LCTX.TA,"[0.9429, 0.8354, 0.8738]","[-1.0, -1.0, -1.0]","[-1.0, -1.0, -1.0]","[-1.0, -1.0, -1.0]","[-1.0, -1.0, -1.0]","[-1.0, -1.0, -1.0]","[0.6558, 0.7634, 0.725]","[None, None, None]"
MGIC.TA,"[0.9826, 0.9748, 0.9183]","[-1.0, -1.0, -1.0]","[-1.0, -1.0, -1.0]","[-1.0, -1.0, -1.0]","[-1.0, -1.0, -1.0]","[-1.0, -1.0, -1.0]","[0.9994, 0.9928, 0.9363]","[0.8061, 0.8138, 0.8703]"
MTRN.TA,"[0.9746, 0.9699, 0.8892]","[0.8456, 0.8409, 0.7602]","[0.8274, 0.8321, 0.9128]","[-0.1469, -0.1423, -0.0616]","[0.8547, 0.85, 0.7693]","[0.9254, 0.93, 0.9893]","[None, None, None]","[-1.0, -1.0, -1.0]"
MLSR.TA,"[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]"
MNIN.TA,"[0.8327, 0.7606, 0.6028]","[0.6655, 0.5935, 0.4357]","[0.9396, 0.9883, 0.8305]","[0.4684, 0.3963, 0.2385]","[0.7391, 0.6671, 0.5093]","[0.9246, 0.8526, 0.6948]","[None, None, None]","[0.8113, 0.8834, 0.9588]"
MLD.TA,"[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]"
MZTF.TA,"[0.9966, 0.9673, 0.9541]","[-1.0, -1.0, -1.0]","[-1.0, -1.0, -1.0]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]"
NYAX.TA,"[0.9597, 0.9807, 0.8438]","[-1.0, -1.0, -1.0]","[-1.0, -1.0, -1.0]","[-0.0306, -0.0903, 0.0853]","[-1.0, -1.0, -1.0]","[-1.0, -1.0, -1.0]","[None, None, None]","[-1.0, -1.0, -1.0]"
NXTM.TA,"[0.9586, 0.8741, 0.9571]","[0.6816, 0.8489, 0.6802]","[0.4949, 0.6622, 0.4935]","[None, None, None]","[0.643, 0.8103, 0.6415]","[0.6676, 0.8349, 0.6662]","[None, None, None]","[None, None, None]"
NXFR.TA,"[0.3683, 0.447, -0.3433]","[-1.0, -1.0, -1.0]","[0.8956, 0.8169, 0.3928]","[0.9459, 0.8673, 0.3424]","[-1.0, -1.0, -1.0]","[0.7705, 0.6919, 0.5178]","[None, None, None]","[None, None, None]"
NICE.TA,"[0.95, 0.9847, 0.9864]","[-1.0, -1.0, -1.0]","[-1.0, -1.0, -1.0]","[-1.0, -1.0, -1.0]","[-1.0, -1.0, -1.0]","[-1.0, -1.0, -1.0]","[0.9519, 0.9172, 0.8883]","[0.9991, 0.9662, 0.9373]"
NVLG.TA,"[0.9353, 0.9077, 0.7275]","[0.7987, 0.7711, 0.5909]","[0.9401, 0.9126, 0.7324]","[0.9524, 0.9799, 0.8399]","[0.8217, 0.7942, 0.614]","[0.8865, 0.8589, 0.6787]","[0.9893, 0.9618, 0.7816]","[0.0066, 0.0341, 0.2143]"
OPCE.TA,"[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]"
OPK.TA,"[0.9741, 0.9683, 0.9327]","[-1.0, -1.0, -1.0]","[-1.0, -1.0, -1.0]","[-0.8182, -0.8241, -0.7251]","[None, None, None]","[-0.8032, -0.8091, -0.7101]","[0.9432, 0.9491, 0.8501]","[0.4523, 0.4581, 0.3591]"
OVRS.TA,"[None, None, None]","[None, None, None]","[None, None, None]","[0.978, 0.9947, 0.91]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]"
PTNR.TA,"[0.9477, 0.9743, 0.8633]","[-1.0, -1.0, -1.0]","[-1.0, -1.0, -1.0]","[-1.0, -1.0, -1.0]","[None, None, None]","[-1.0, -1.0, -1.0]","[0.9912, 0.9646, 0.8023]","[0.8406, 0.814, 0.6516]"
PERI.TA,"[0.8669, 0.9098, 0.7282]","[-1.0, -1.0, -1.0]","[-1.0, -1.0, -1.0]","[0.1698, 0.3932, 0.5747]","[None, None, None]","[-1.0, -1.0, -1.0]","[0.9383, 0.715, 0.5334]","[None, None, None]"
PLCR.TA,"[None, None, None]","[None, None, None]","[None, None, None]","[-1.0, -1.0, -1.0]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]"
PMVM.TA,"[None, None, None]","[None, None, None]","[None, None, None]","[0.9952, 0.8257, 0.7605]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]"
PRTC.TA,"[0.8903, 0.8881, 0.8242]","[0.0233, 0.0254, 0.0893]","[0.5495, 0.5473, 0.4834]","[-1.0, -1.0, -1.0]","[None, None, None]","[None, None, None]","[None, None, None]","[0.6071, 0.6049, 0.541]"
RAVD.TA,"[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]"
RVL.TA,"[0.9798, 0.9467, 0.8724]","[0.607, 0.6401, 0.7144]","[-0.5391, -0.506, -0.4317]","[None, None, None]","[0.799, 0.8321, 0.9064]","[-1.0, -1.0, -1.0]","[0.9606, 0.9275, 0.8532]","[None, None, None]"
RIT1.TA,"[0.9186, 0.9461, 0.8349]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]"
REKA.TA,"[0.9741, 0.9779, 0.8897]","[0.6255, 0.6293, 0.5411]","[-1.0, -1.0, -1.0]","[-1.0, -1.0, -1.0]","[0.6664, 0.6702, 0.5821]","[0.5788, 0.5826, 0.4944]","[None, None, None]","[0.9055, 0.9017, 0.9898]"
RTLS.TA,"[0.9146, 0.8382, 0.8517]","[0.5384, 0.462, 0.4755]","[0.1236, 0.0472, 0.0607]","[-0.1792, -0.2556, -0.2421]","[0.5366, 0.4603, 0.4737]","[-0.8472, -0.9236, -0.9101]","[None, None, None]","[None, None, None]"
RIMO.TA,"[0.9479, 0.9363, 0.8552]","[0.9634, 0.975, 0.7665]","[0.9845, 0.9961, 0.7875]","[0.8768, 0.8652, 0.9263]","[0.9873, 0.9757, 0.8157]","[0.7628, 0.7512, 0.9598]","[1.0, 0.9884, 0.803]","[None, None, None]"
SPNS.TA,"[0.9592, 0.9503, 0.9918]","[-1.0, -1.0, -1.0]","[-1.0, -1.0, -1.0]","[-1.0, -1.0, -1.0]","[-1.0, -1.0, -1.0]","[-1.0, -1.0, -1.0]","[0.9945, 0.915, 0.9566]","[0.9996, 0.9099, 0.9515]"
SVRE.TA,"[0.9303, 0.8655, 0.9356]","[0.4178, 0.4826, 0.2837]","[0.7356, 0.6707, 0.8697]","[0.2256, 0.2904, 0.0915]","[0.4174, 0.4823, 0.2833]","[0.637, 0.5721, 0.7711]","[-1.0, -1.0, -1.0]","[None, None, None]"
SLARL.TA,"[0.981, 0.9954, 0.8869]","[0.6213, 0.6449, 0.5272]","[0.3879, 0.4114, 0.2937]","[0.75, 0.7736, 0.6558]","[None, None, None]","[0.8748, 0.8512, 0.9689]","[0.9714, 0.9949, 0.8772]","[0.9724, 0.996, 0.8783]"
SHOM.TA,"[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]"
SKLN.TA,"[0.9934, 0.9601, 0.7741]","[0.6487, 0.6022, 0.4162]","[0.1639, 0.1174, -0.0686]","[-1.0, -1.0, -1.0]","[None, None, None]","[-1.0, -1.0, -1.0]","[None, None, None]","[0.4987, 0.4522, 0.2662]"
SOLR.TA,"[0.663, 0.676, 0.5848]","[-1.0, -1.0, -1.0]","[0.4225, 0.4355, 0.3443]","[0.0186, 0.0056, 0.0968]","[-1.0, -1.0, -1.0]","[-1.0, -1.0, -1.0]","[0.8133, 0.8263, 0.7351]","[-0.0995, -0.0865, -0.1777]"
TMRP.TA,"[0.9806, 0.9305, 0.9167]","[0.6917, 0.6415, 0.6278]","[0.42, 0.3699, 0.3562]","[-1.0, -1.0, -1.0]","[None, None, None]","[None, None, None]","[0.9983, 0.9482, 0.9345]","[0.9983, 0.9482, 0.9344]"
TFRLF.TA,"[0.993, 0.9526, 0.9669]","[0.6077, 0.5673, 0.5816]","[0.6101, 0.5697, 0.584]","[-1.0, -1.0, -1.0]","[0.6048, 0.5644, 0.5787]","[0.5463, 0.5059, 0.5202]","[None, None, None]","[1.0, 0.9596, 0.9739]"
TRX.TA,"[0.9906, 0.8479, 0.6171]","[0.8757, 0.7142, 0.4834]","[0.9654, 0.8039, 0.5731]","[-1.0, -1.0, -1.0]","[0.8793, 0.7178, 0.487]","[-1.0, -1.0, -1.0]","[None, None, None]","[None, None, None]"
TSEM.TA,"[0.9316, 0.8879, 0.9115]","[-1.0, -1.0, -1.0]","[-1.0, -1.0, -1.0]","[-1.0, -1.0, -1.0]","[-1.0, -1.0, -1.0]","[-1.0, -1.0, -1.0]","[0.9916, 0.9479, 0.9715]","[0.9608, 0.9171, 0.9407]"
UMH.TA,"[0.9387, 0.9043, 0.9097]","[-1.0, -1.0, -1.0]","[0.9302, 0.8959, 0.9013]","[-0.6667, -0.701, -0.6956]","[-1.0, -1.0, -1.0]","[-1.0, -1.0, -1.0]","[0.5027, 0.4684, 0.4738]","[0.4757, 0.4414, 0.4468]"
VRDS.TA,"[-1.0, -1.0, -1.0]","[-1.0, -1.0, -1.0]","[-1.0, -1.0, -1.0]","[-0.2203, -0.1505, -0.0232]","[-1.0, -1.0, -1.0]","[-1.0, -1.0, -1.0]","[None, None, None]","[-1.0, -1.0, -1.0]"
VCTR.TA,"[0.9915, 0.9467, 0.8637]","[0.6638, 0.602, 0.5189]","[0.7045, 0.6427, 0.5596]","[None, None, None]","[0.7764, 0.7147, 0.6316]","[0.5126, 0.4509, 0.3678]","[None, None, None]","[None, None, None]"
VTNA.TA,"[0.886, 0.8247, 0.7826]","[-0.161, -0.2224, -0.2645]","[0.0182, -0.0432, -0.0853]","[None, None, None]","[0.659, 0.5977, 0.5556]","[None, None, None]","[None, None, None]","[0.5487, 0.4873, 0.4452]"
WILC.TA,"[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[1.0, 0.9359, 0.997]","[None, None, None]"
