Ticker,Sector,Industry,Company Name,HebrewIndustryName
ANGL,Consumer Defensive,Confectioners,ANGEL SOLOMON,יצרני ממתקים
APLP,Technology,Solar,APOLLO POWER,אנרגיה סולארית
AQUA,Industrials,Specialty Industrial Machinery,AQUARIUS ENGINES,מכונות תעשייה ייחודיות
ARD,Technology,Scientific & Technical Instruments,ARAD,מכשור מדעי וטכני
ARAD,,,ARAD INVESTMENT,טכנולוגיה ואופטיקה
ARAN,Industrials,Conglomerates,ARAN,קונגלומרטים
ARBE,Technology,Software Infrastructure,ARBE ROBOTICS,תשתיות תוכנה
ARGO,Real Estate Diversified,Real Estate Diversified Services,ARGO PROPERTIES,"שירותי נדל""ן מגוונים"
ARIN,Real Estate Diversified,Real Estate Diversified Services,ARI RAEL ESTATE,"שירותי נדל""ן מגוונים"
ARYT,Industrials,Aerospace & Defense,ARYT,תעופה וביטחון
ARF,Energy,Oil & Gas Refining & Marketing,ASHDOD REFINERY,זיקוק ושיווק נפט
ASHO,Industrials,Aerospace & Defense,ASHOT,תעופה וביטחון
ASHG,Real Estate Diversified,Real Estate Diversified Development,ASHTROM GROUP,"פיתוח נדל""ן מגוון"
ASGR,Real Estate Diversified,Real Estate Diversified Services,ASPEN GROUP,"שירותי נדל""ן מגוונים"
AUDC,Technology,Communication Equipment,AUDIOCODES,ציוד תקשורת
AUGN,Industrials,Specialty Industrial Machinery,AUGWIND,מכונות תעשייה ייחודיות
AURA,Real Estate Diversified,Real Estate Diversified Development,AURA,"פיתוח נדל""ן מגוון"
AUSA-M,,,AURA SMART AIR,קלינטק
AUIS,Real Estate Diversified,Real Estate Diversified Services,AUSTRALIA ISR,"שירותי נדל""ן מגוונים"
AMX,Consumer Cyclical,Auto & Truck Dealerships,AUTOMAX,סוכנויות רכב
AVER,Consumer Cyclical,"Furnishings, Fixtures & Appliances",AVERBUCH,רהיטים ומכשירי חשמל
AVGD,Real Estate Diversified,Real Estate Diversified Development,AVGAD,"פיתוח נדל""ן מגוון"
AVGL,Consumer Cyclical,Textile Manufacturing,AVGOL,ייצור טקסטיל
AVIA,Consumer Cyclical,Travel Services,AVIATION LINKS,שירותי נסיעות
AVIV,Industrials,Engineering & Construction,AVIV,הנדסה ובנייה
AVRT,Industrials,Metal Fabrication,AVROT,ייצור מתכת
AILN,Technology,Software Infrastructure,AXILION,תשתיות תוכנה
AYAL,Financial Services,Insurance,AYALON HOLD.,ביטוח
AZRM,Consumer Cyclical,Residential Construction,AZORIM,בנייה למגורים
AZRG,Real Estate Diversified,Real Estate Diversified Services,AZRIELI GROUP,"שירותי נדל""ן מגוונים"
BCOM,Communication Services,Telecom Services,B COMMUNICATIONS,שירותי טלקום
BKFR,Healthcare,Medical Care Facilities,BAIT BAKFAR,מרכזים רפואיים
BVGG,Consumer Cyclical,Residential Construction,BAIT VEGAG,בנייה למגורים
BRAN,Industrials,Engineering & Construction,BARAN,הנדסה ובנייה
BRKT,Financial Services,Credit Services,BAREKET,שירותי אשראי
BVC,Healthcare,Medical Instruments & Supplies,BATM,ציוד רפואי
ORL,Energy,Oil & Gas Refining & Marketing,BAZAN,זיקוק ושיווק נפט
BHNY,Consumer Defensive,Packaged Foods,BEEIO HONEY,מזון ארוז
BSEN,Industrials,Aerospace & Defense,BET SHEMESH,תעופה וביטחון
BEZQ,Communication Services,Telecom Services,BEZEQ,שירותי טלקום
BIG,Real Estate Diversified,Real Estate Diversified Services,BIG,"שירותי נדל""ן מגוונים"
BIGT,Financial Services,Asset Management,BIG-TECH 50 PARTICIPATION UNIT,ניהול נכסים
BKRY,Consumer Defensive,Food Distribution,BIKUREY HASHDE,הפצת מזון
BIOV,Healthcare,Medical Devices,BIO VIEW,מכשור רפואי
BOLT,Healthcare,Biotechnology,BIOLIGHT,ביוטכנולוגיה
BLRX,Healthcare,Biotechnology,BIOLINE RX,ביוטכנולוגיה
BIMT,Financial Services,Asset Management,BIOMEAT FOOD PARTICIPATION UNIT,ניהול נכסים
BIRM,Industrials,Building Products & Equipment,BIRMAN,מוצרי ובציוד בנייה
BLRN,Technology,Computer Hardware,BLADE RANGER,חומרת מחשבים
BLITZ-M,,,BLITZ-MOTORS,אלקטרוניקה ואופטיקה
BLSR,Real Estate Diversified,Real Estate Diversified Services,BLUE SQUARE Real Estate Diversified,"שירותי נדל""ן מגוונים"
BOTI,Real Estate Diversified,Real Estate Diversified Services,BONEI TICHON,"שירותי נדל""ן מגוונים"
BONS,Healthcare,Biotechnology,BONUS BIOGROUP,ביוטכנולוגיה
BCNV-M,Real Estate Diversified,Real Estate Diversified Services,BRACK CAPITAL PROPERTIES,"שירותי נדל""ן מגוונים"
BWAY,Healthcare,Medical Devices,BRAINSWAY,מכשור רפואי
BRAM,Consumer Cyclical,Packaging & Containers,BRAM INDUSTRIES,אריזות ומיכלים
BRND,Basic Materials,Steel,BRAND,פלדה
BRIL,Consumer Cyclical,Apparel Retail,BRILL,קמעונאות הלבשה
BRMG,Technology,Electronics & Computer Distribution,BRIMAG,אלקטרוניקה
BBLS,Financial Services,Credit Services,BUBBLES,שירותי אשראי
BLGO,Real Estate Diversified,Real Estate Diversified Services,BULIGO,"שירותי נדל""ן מגוונים"
BULL-M,,,BULL TRADING,אשראי חוץ בנקאי
CISY,Technology,Scientific & Technical Instruments,C I SYSTEMS,מכשור מדעי וטכני
CLAB,Technology,Computer Hardware,C-LAB,חומרת מחשבים
CAMT,Technology,Semiconductor Equipment & Materials,CAMTEK,ציוד לשבבים
CANF,Healthcare,Biotechnology,CAN FITE BIOFARMA,ביוטכנולוגיה
CNGL,Industrials,Engineering & Construction,CANADA GLOBAL,הנדסה ובנייה
CNTC,Healthcare,Drug Manufacturers,CANNABOTECH,יצרני תרופות
CNZN,,,CANZON,השקעות ואחזקות
CPTP,Financial Services,Asset Management,CAPITAL POINT,ניהול נכסים
CRSM,Consumer Cyclical,Auto & Truck Dealerships,CARASSO MOTORS,סוכנויות רכב
CRSR,Real Estate Diversified,Real Estate Diversified Development,CARASSO Real Estate Diversified,"פיתוח נדל""ן מגוון"
CRML,Consumer Defensive,Beverages,CARMEL CORP,משקאות
CRMT,Consumer Defensive,Confectioners,CARMIT,יצרני ממתקים
CAST,Consumer Cyclical,Apparel Retail,CASTRO,קמעונאות הלבשה
CEL,Communication Services,Telecom Services,CELLCOM,שירותי טלקום
CILO,Real Estate Diversified,Real Estate Diversified Development,CIELO-BLU,"פיתוח נדל""ן מגוון"
CION,Financial Services,Asset Management,CION,ניהול נכסים
CPIA,Technology,Software Infrastructure,CIPIA VISION,תשתיות תוכנה
CTPL1,Real Estate Diversified,Real Estate Diversified Services,CITRUS PLANT1,"שירותי נדל""ן מגוונים"
CTPL5,Real Estate Diversified,Real Estate Diversified Services,CITRUS PLANT5,"שירותי נדל""ן מגוונים"
CBI,Healthcare,Biotechnology,CLAL BIOTECH,ביוטכנולוגיה
CLIS,Financial Services,Life Insurance,CLAL INSURANCE,ביטוח חיים
CFX,Consumer Cyclical,Restaurants,COFIX GROUP,מסעדות
CDEV,Industrials,Conglomerates,COHEN DEVELOPMENT,קונגלומרטים
CGEN,Healthcare,Biotechnology,COMPUGEN,ביוטכנולוגיה
CMDR,Technology,Information Technology Services,COMPUTER DIRECT,שירותי טכנולוגיית מידע
CNTL-M,Technology,Software Infrastructure,CONTINUAL,תשתיות תוכנה
CMCT,Real Estate Diversified,Real Estate Investments,CREATIVE MEDIA,"השקעות בנדל""ן"
DANH,Consumer Cyclical,Lodging,DAN HOTELS,אירוח
DANE,Healthcare,Medical Care Facilities,DANEL,מרכזים רפואיים
DNYA,Industrials,Engineering & Construction,DANYA CEBUS,הנדסה ובנייה
DLEA,Consumer Cyclical,Auto & Truck Dealerships,DELEK AUTOMOTIV,סוכנויות רכב
DLEKG,Energy,Oil & Gas E&P,DELEK GROUP,חיפוש והפקת נפט וגז
DLTI,Consumer Cyclical,Apparel Manufacturing,DELTA BRANDS,ייצור הלבשה
DELG,Consumer Cyclical,Apparel Manufacturing,DELTA GALIL,ייצור הלבשה
DIMRI,Consumer Cyclical,Residential Construction,DIMRI,בנייה למגורים
DIPL,Consumer Defensive,Food Distribution,DIPLOMAT HOLDINGS,הפצת מזון
DIFI,Financial Services,Credit Services,DIRECT FINANCE,שירותי אשראי
DSCT,Financial Services,Banks,DISCOUNT,בנקים
DISI,Communication Services,Telecom Services,DISCOUNT INVESTMENTS,שירותי טלקום
DNA,Healthcare,Biotechnology,DNA GROUP,ביוטכנולוגיה
DRAL,Consumer Cyclical,Specialty Retail,DOR ALON,קמעונאות ייחודית
DORL,Utilities,Renewable Energy,DORAL ENERGY,אנרגיה מתחדשת
DRSH,Real Estate Diversified,Real Estate Diversified Services,DORSEL HOLDINGS,"שירותי נדל""ן מגוונים"
DUNI,Consumer Cyclical,Residential Construction,DUNIEC,בנייה למגורים
ECNR,Utilities,Renewable Energy,ECONERGY,אנרגיה מתחדשת
ECPA-M,,,ECOPPIA,מעטפת
EFCP,Real Estate Diversified,Real Estate Diversified Development,EFFI CAPITAL,"פיתוח נדל""ן מגוון"
ELAL,Industrials,Airlines,EL AL,תעופה
EMITF-M,Healthcare,Medical Devices,ELBIT IMAGING,מכשור רפואי
EMTC-M,Healthcare,Medical Devices,ELBIT MEDITEC,מכשור רפואי
ESLT,Industrials,Aerospace & Defense,ELBIT SYSTEMS,תעופה וביטחון
ELCO,Industrials,Conglomerates,ELCO,קונגלומרטים
ELDAV-M,Financial Services,Asset Management,ELDAV,ניהול נכסים
ELTR,Industrials,Engineering & Construction,ELECTRA,הנדסה ובנייה
ECP,Technology,Consumer Electronics,ELECTRA CONSUMER PRODUCTS,אלקטרוניקה לצרכן
ELCP,Utilities,Regulated Gas,ELECTRA POWER,גז
ELCRE,Real Estate Diversified,Real Estate Diversified Services,ELECTRA Real Estate Diversified,"שירותי נדל""ן מגוונים"
ELWS,Industrials,Engineering & Construction,ELECTREON,הנדסה ובנייה
ELLO,Utilities,Renewable Energy,ELLOMAY,אנרגיה מתחדשת
ELMR,Industrials,Engineering & Construction,ELMOR,הנדסה ובנייה
ELRN,Financial Services,Asset Management,ELRON,ניהול נכסים
ELSPC,Industrials,Electrical Equipment & Parts,ELSPEC,ציוד אלקטרוני
EMCO,Technology,Information Technology Services,EMET,שירותי טכנולוגיית מידע
EMDV,Financial Services,Asset Management,EMILIA DEVELOPMENT,ניהול נכסים
ENDY,,,ENDYMED,מכשור רפואי
ENOG,Energy,Oil & Gas E&P,ENERGEAN,חיפוש והפקת נפט וגז
ENRG,Utilities,Renewable Energy,ENERGIX,אנרגיה מתחדשת
ENLT,Utilities,Renewable Energy,ENLIGHT ENERGY,אנרגיה מתחדשת
ENLV,Healthcare,Biotechnology,ENLIVEX,ביוטכנולוגיה
EPIT,Healthcare,Medical Devices,EPITOMEE MEDICAL,מכשור רפואי
EQTL,Energy,Oil & Gas E&P,EQUITAL,חיפוש והפקת נפט וגז
EFNC-M,Healthcare,Medical Devices,ERECH FINANCE,מכשור רפואי
BCUR,Healthcare,Medical Devices,ERIKA B-CURE,מכשור רפואי
ETGA,Industrials,Integrated Freight & Logistics,ETGA GROUP,שילוח ולוגיסטיקה
EVGN,Healthcare,Biotechnology,EVOGENE,ביוטכנולוגיה
EXPO,Financial Services,Banks,EXPORT INVESTMENT,בנקים
FTAL,Consumer Cyclical,Lodging,FATAL HOLDINGS,אירוח
FEAT,Financial Services,Asset Management,FEAT INVESTMENTS PARTICIPATION UNIT,ניהול נכסים
FIBI,Financial Services,Banks,FIBI BANK,בנקים
FIBIH,Financial Services,Banks,FIBI HOLDINGS,בנקים
FGAS,Energy,Oil & Gas Equipment & Services,FIRE AND GAS DETECTION,ציוד ושירותי נפט וגז
FLYS,Consumer Defensive,Packaged Foods,FLYING SPARK,מזון ארוז
FBRT,Industrials,Aerospace & Defense,FMS,תעופה וביטחון
FRSX,Consumer Cyclical,Auto Parts,FORESIGHT,חלקי רכב
FORTY,Technology,Information Technology Services,FORMOLA,שירותי טכנולוגיית מידע
FOX,Consumer Cyclical,Apparel Manufacturing,FOX,ייצור הלבשה
FRDN,Industrials,Integrated Freight & Logistics,FRIDENSON,שילוח ולוגיסטיקה
GOSS,Industrials,Security & Protection Services,G 1 SECURE SOLUTIONS,שירותי אבטחה
GCT,Real Estate Diversified,Real Estate Diversified,G CITY,"נדל""ן מגוון"
GPGB-M,Utilities,Independent Power Producers,G.P GLOBAL,יצרני חשמל עצמאיים
GLTC,,,GALILEO TECH,אשראי חוץ בנקאי
GMLA,Financial Services,Credit Services,GAMLA HAREL,שירותי אשראי
GSFI,Consumer Defensive,Beverages,GAN SHMUEL,משקאות
GAGR,Basic Materials,Steel,GAON GROUP,פלדה
GAON-M,Industrials,Building Products & Equipment,GAON HOLDINGS,מוצרי ובציוד בנייה
GVYM,Real Estate Diversified,Real Estate Diversified Development,GAV YAM,"פיתוח נדל""ן מגוון"
GEFR,Real Estate Diversified,Real Estate Diversified Development,GEFFEN RESIDENCE & RENEWAL,"פיתוח נדל""ן מגוון"
GNCL,Industrials,Electrical Equipment & Parts,GENCELL,ציוד אלקטרוני
GNRS,Financial Services,Asset Management,GENERATION CAPITAL,ניהול נכסים
GFC-M,Healthcare,Biotechnology,GFC,ביוטכנולוגיה
GIBUI,Financial Services,Asset Management,GIBUI HOLDING,ניהול נכסים
GILT,Technology,Communication Equipment,GILAT,ציוד תקשורת
GLTL,Communication Services,Telecom Services,GILAT TELECOM,שירותי טלקום
GNGR,Consumer Cyclical,Textile Manufacturing,GINEGAR,ייצור טקסטיל
GIVO,Energy,Oil & Gas E&P,GIVOT PARTICIPATION UNIT,חיפוש והפקת נפט וגז
GIX,Communication Services,Advertising Agencies,GIX,סוכנויות פרסום
GKL,Industrials,Aerospace & Defense,GLOBAL KNAFAIM,תעופה וביטחון
GLEN-M,Energy,Oil & Gas E&P,GLOBE PARTICIPATION UNIT,חיפוש והפקת נפט וגז
GLRS,Consumer Defensive,Tobacco,GLOBRANDS,טבק
GOTO,,,GO TO,תרגום חסר
GRIN,Industrials,Building Products & Equipment,GOLAN INDUSTRIES,מוצרי ובציוד בנייה
GOLD,Industrials,Marine Shipping,GOLD,ספנות
GOHO,Healthcare,Medical Care Facilities,GOLDEN HOUSE,מרכזים רפואיים
GOLF,Consumer Cyclical,Specialty Retail,GOLF,קמעונאות ייחודית
GRAC,,,GRACE BREEDING,ביוטכנולוגיה
G107,Technology,Software Infrastructure,GROUP 107,תשתיות תוכנה
GUID,Communication Services,Internet Content & Information,GUIDLINE,תוכן אינטרנטי
HDST-M,Healthcare,Biotechnology,HADASIT BIO,ביוטכנולוגיה
HGG,Real Estate Diversified,Real Estate Diversified Services,HAGAG,"שירותי נדל""ן מגוונים"
HGGE,Real Estate Diversified,Real Estate Diversified Development,HAGAG EUROPE,"פיתוח נדל""ן מגוון"
HMAM,Consumer Defensive,Farm Products,HAMAMA,מוצרי חקלאות
MSBI,Consumer Cyclical,Department Stores,HAMASHBIR 365,כלבו
HAMAT,Industrials,Building Products & Equipment,HAMAT,מוצרי ובציוד בנייה
HARL,Financial Services,Insurance,HAREL,ביטוח
HICN,Industrials,Specialty Industrial Machinery,HIGHCON SYSTEMS,מכונות תעשייה ייחודיות
HLAN,Technology,Information Technology Services,HILAN,שירותי טכנולוגיית מידע
HIPR,Technology,Computer Hardware,HIPER GLOBAL,חומרת מחשבים
HRON,Real Estate Diversified,Real Estate Diversified Development,HIRON,"פיתוח נדל""ן מגוון"
HIVE,Financial Services,Asset Management,HIVE 2040 PARTICIPATION UNIT,ניהול נכסים
HOD,Basic Materials,Steel,HOD,פלדה
HDHA,,,HODAYAT HAARETZ,תרגום חסר
HLMS,Consumer Cyclical,Leisure,HOLMES PLACE,פנאי
HMGS,Utilities,Renewable Energy,HOMEBIOGAS,אנרגיה מתחדשת
HUMX,Healthcare,Medical Devices,HUMAN XT,מכשור רפואי
IARG,,,I ARGENTO PU,השקעות בהייטק
ICL,Basic Materials,Agricultural Inputs,ICL,תשומות חקלאיות
ICON,Technology,Electronics & Computer Distribution,ICON GROUP,אלקטרוניקה
IDNT,Healthcare,Health Information Services,IDENTI,שירותי מידע רפואיים
IDIN,Financial Services,Insurance,IDI INSURANCE,ביטוח
IDMO,Technology,Software Application,IDOMOO,אפליקציות תוכנה
IES,Real Estate Diversified,Real Estate Diversified Services,IES,"שירותי נדל""ן מגוונים"
INTO,,,IINTOO,תוכנה ואינטרנט
ILDR,Energy,Oil & Gas E&P,ILD RENEWAL,חיפוש והפקת נפט וגז
ILX,Healthcare,Medical Devices,ILEX MEDICAL,מכשור רפואי
ISI,Industrials,Aerospace & Defense,IMAGESAT I.S.I,תעופה וביטחון
IMCO,Industrials,Aerospace & Defense,IMCO,תעופה וביטחון
IMED,Healthcare,Health Information Services,IMED PARTICIPATION UNIT,שירותי מידע רפואיים
INFR-M,,,INFEMIL,מעטפת
INRM,Basic Materials,Building Materials,INROM CONSTRUCTION INDUSTRIES,חומרי בנייה
ININ,Technology,Electronic Components,INTER INDUSTRIES,רכיבים אלקטרוניים
INCR,Healthcare,Drug Manufacturers,INTERCURE,יצרני תרופות
INTR,Industrials,Conglomerates,INTERGAMA,קונגלומרטים
IGLD,Communication Services,Telecom Services,INTERNET GOLD,שירותי טלקום
ISCN,Real Estate Diversified,Real Estate Diversified Development,ISRAEL CANADA,"פיתוח נדל""ן מגוון"
ILDC,Real Estate Diversified,Real Estate Diversified Services,ISRAEL LAND DEVELOPMENT COMPANY,"שירותי נדל""ן מגוונים"
ISOP,Energy,Oil & Gas E&P,ISRAEL OPPORTUNITY PARTICIPATION UNIT,חיפוש והפקת נפט וגז
ISHI,Industrials,Aerospace & Defense,ISRAEL SHIPYARD,תעופה וביטחון
ISRG,Industrials,Airlines,ISRAIR GROUP,תעופה
ISRA,Energy,Oil & Gas E&P,ISRAMCO PARTICIPATION UNIT,חיפוש והפקת נפט וגז
ISRS,Real Estate Diversified,Real Estate Diversified Services,ISRAS,"שירותי נדל""ן מגוונים"
ISRO,Consumer Cyclical,Lodging,ISROTEL,אירוח
ISTA,Consumer Cyclical,Travel Services,ISSTA,שירותי נסיעות
JCFN,Financial Services,Credit Services,JACOB FINANCE,שירותי אשראי
JBNK,Financial Services,Banks,JERUSALEM,בנקים
JNGO,Technology,Software Application,JUNGO,אפליקציות תוכנה
KDST,Healthcare,Biotechnology,KADIMASTEM,ביוטכנולוגיה
KAFR,Basic Materials,Specialty Chemicals,KAFRIT,כימיקלים מיוחדים
KMDA,Healthcare,Drug Manufacturers,KAMADA,יצרני תרופות
KRDI,Real Estate Diversified,Real Estate Diversified Services,KARDEN ISRAEL,"שירותי נדל""ן מגוונים"
KARE,Real Estate Diversified,Real Estate Diversified Services,KARDEN Real Estate Diversified,"שירותי נדל""ן מגוונים"
KEN,Utilities,Independent Power Producers,KENON,יצרני חשמל עצמאיים
KRUR,Consumer Defensive,Packaged Foods,KERUR,מזון ארוז
KSTN,Real Estate Diversified,Real Estate Investments,KEYSTONE INFRA,"השקעות בנדל""ן"
KLIL,Basic Materials,Aluminum,KLIL,אלומיניום
KNFM,Industrials,Airlines,KNAFAIM,תעופה
LHIS,Industrials,Farm & Heavy Construction Machinery,LACHISH,ציוד חקלאי ובנייה כבדה
LAHAV,Consumer Cyclical,Specialty Retail,LAHAV,קמעונאות ייחודית
LPHL,Energy,Oil & Gas Drilling,LAPIDOTH-HELETZ - LIMITD PARTNERSHIP,קידוחי נפט
LSCO,Industrials,Engineering & Construction,LESICO,הנדסה ובנייה
LUMI,Financial Services,Banks,LEUMI,בנקים
LEOF,Industrials,Engineering & Construction,LEVINSKI OFER,הנדסה ובנייה
LEVI,Industrials,Engineering & Construction,LEVINSTEIN ENGINEERING,הנדסה ובנייה
LVPR,,,LEVINSTEIN PROPERTIES,"נדל""ן מגוון"
LBRA,Financial Services, Property & Casualty Insurance,LIBRA,ביטוח מבנה ותכולה
LCTX,Healthcare,Biotechnology,LINEAGE THERAPY,ביוטכנולוגיה
LPSN,Technology,Software Application,LIVEPERSON,אפליקציות תוכנה
LODZ,Real Estate Diversified,Real Estate Diversified Services,LODZIA,"שירותי נדל""ן מגוונים"
LUDN,Industrials,Engineering & Construction,LUDAN,הנדסה ובנייה
LUZN,Industrials,Engineering & Construction,LUZON GROUP,הנדסה ובנייה
LURO,,,LUZON RONSON,בנייה
MGIC,Technology,Information Technology Services,MAGIC,שירותי טכנולוגיית מידע
MLTM,Technology,Information Technology Services,MALAM TEAM,שירותי טכנולוגיית מידע
MSLA,Real Estate Diversified,Real Estate Diversified Development,MASLAVI,"פיתוח נדל""ן מגוון"
MSVT,Technology,Computer Hardware,MASSIVIT,חומרת מחשבים
MTLF,Healthcare,Biotechnology,MATRICELF,ביוטכנולוגיה
MTRX,Technology,Software Application,MATRIX,אפליקציות תוכנה
MAXO,Consumer Cyclical,Department Stores,MAX STOCK,כלבו
MTRN,Technology,Consumer Electronics,MAYTRONICS,אלקטרוניקה לצרכן
MDPR,Real Estate Diversified,Real Estate Diversified Services,MEDIPOWER,"שירותי נדל""ן מגוונים"
MPRS,Healthcare,Medical Devices,MEDIPRSS PARTICIPATION UNIT,מכשור רפואי
MDTR,Real Estate Diversified,Real Estate Diversified Services,MEDITERRANEAN TOWERS LTD,"שירותי נדל""ן מגוונים"
MGOR,Real Estate Diversified,Real Estate Diversified,MEGA OR,"נדל""ן מגוון"
MEDN,Consumer Defensive,Farm Products,MEHADRIN,מוצרי חקלאות
MLSR,Real Estate Diversified,Real Estate Diversified Services,MELISRON,"שירותי נדל""ן מגוונים"
MNIN,Basic Materials,Steel,MENDELSON INFRASTRUCTURE,פלדה
MNIF,Financial Services,Credit Services,MENIF,שירותי אשראי
MNRT,Real Estate Diversified,Real Estate Diversified Investment,MENIVIM REIT,"השקעות נדל""ן מגוונות"
MMHD,Financial Services,Life Insurance,MENORA MIVTAHIM HOLDINGS,ביטוח חיים
CMER,Technology,Communication Equipment,MER,ציוד תקשורת
???,,,MERARA PARTICIPATION UNIT,השקעות בהייטק
MRHL,Healthcare,Medical Care Facilities,MERCHAVIA HOLDINGS,מרכזים רפואיים
MSKE,Utilities,Renewable Energy,MESHEK ENERGY,אנרגיה מתחדשת
MGRT,Real Estate Diversified,Real Estate Diversified Investment,MGURIT,"השקעות נדל""ן מגוונות"
MIA,Consumer Cyclical,Auto Manufacturers,MIA DYNAMICS,יצרני רכב
MCLL,Financial Services,Credit Services,MICHLOL FINANCES,שירותי אשראי
MCMN,Financial Services,Credit Services,MICHMAN,שירותי אשראי
MCRNT,Technology,Communication Equipment,MICRONET,ציוד תקשורת
MGDL,Financial Services,Life Insurance,MIGDAL INSURANCE,ביטוח חיים
MIFT,Financial Services,Asset Management,MILLENNIUM FOOD PARTICIPATION UNIT,ניהול נכסים
MLD,,,MIRLAND DEVELOPMENT CORPORATION,בנייה
MSHR,Real Estate Diversified,Real Estate Diversified Services,MISHORIM,"שירותי נדל""ן מגוונים"
MVNE,Real Estate Diversified,Real Estate Diversified Services,MIVNE,"שירותי נדל""ן מגוונים"
MISH,Financial Services,Asset Management,MIVTACH SHAMIR,ניהול נכסים
MZTF,Financial Services,Banks,MIZRAHI TEFAHOT,בנקים
MLRN,Financial Services,Credit Services,MLRN,שירותי אשראי
MDIN,Energy,Oil & Gas E&P,MODIIN PPARTICIPATION UNITU,חיפוש והפקת נפט וגז
MRG,Consumer Cyclical,Home Improvement Retail,MULTI RETAIL,קמעונאות
MYDS,Financial Services,Asset Management,MYDAS,ניהול נכסים
NFTA,Energy,Oil & Gas E&P,NAPHTHA,חיפוש והפקת נפט וגז
NVPT,Energy,Oil & Gas E&P,NAVITAS PTRO PARTICIPATION UNIT,חיפוש והפקת נפט וגז
NAWI,Financial Services,Credit Services,NAWI,שירותי אשראי
NYAX,Technology,Software Infrastructure,NAYAX,תשתיות תוכנה
NTGR,Real Estate Diversified,Real Estate Diversified Services,NETANEL GROUP,"שירותי נדל""ן מגוונים"
NTNB,Real Estate Diversified,Real Estate Diversified Development,NETANEL MENIVIM,"פיתוח נדל""ן מגוון"
NTO,Consumer Defensive,Food Distribution,NETO HOLDINGS,הפצת מזון
NTML,Consumer Defensive,Packaged Foods,NETO MALINDA,מזון ארוז
NWMD,Energy,Oil & Gas E&P,NEWMED ENERGY PARTICIPATION UNIT,חיפוש והפקת נפט וגז
NXSN,Industrials,Security & Protection Services,NEXT VISION,שירותי אבטחה
NXTG,Healthcare,Drug Manufacturers,NEXTAGE,יצרני תרופות
NXTM,Communication Services,Telecom Services,NEXTCOM,שירותי טלקום
NXFR,Consumer Defensive,Packaged Foods,NEXTFERM,מזון ארוז
NXGN,Healthcare,Medical Instruments & Supplies,NEXTGEN,ציוד רפואי
NICE,Technology,Software Application,NICE,אפליקציות תוכנה
NISA,Healthcare,Medical Instruments & Supplies,NISSAN,ציוד רפואי
NOFR,Technology,Solar,NOFAR ENERGY,אנרגיה סולארית
NSTR,Real Estate Diversified,Real Estate Diversified Services,NORSTAR,"שירותי נדל""ן מגוונים"
NVMI,Technology,Semiconductor Equipment & Materials,NOVA,ציוד לשבבים
NVLG,Healthcare,Medical Distribution,NOVOLOG,מכשור רפואי
NRGN,Technology,Software Application,NRGENE,אפליקציות תוכנה
NURI,Basic Materials,Specialty Chemicals,NUR,כימיקלים מיוחדים
